C,H,O,N,S,P,Se,Na,Cl,13C,m/z,H/C,O/C,KM,NKM,KMD,DBE,DBE-O,13Cratio,AImod,Sep-t0-1,Sep-t0-2,Sep-t0-3,Sep-t1-1,Sep-t1-2,Sep-t1-3,Sep-t1-UF-R,Sep-t1-UF-S,Oct-t0-1,Oct-t0-2,Oct-t0-3,Oct-t1-1,Oct-t1-2,Oct-t1-3,Oct-t1-UF-R,Oct-t1-UF-S,Dec-t0-1,Dec-t0-2,Dec-t0-3,Dec-t1-1,Dec-t1-2,Dec-t1-3,Dec-t1-UF-R,Dec-t1-UF-S,Feb-t0-1,Feb-t0-2,Feb-t0-3,Feb-t1-1,Feb-t1-2,Feb-t1-3,Feb-t1-UF-R,Feb-t1-UF-S,Oct-MQ-1,Oct-MQ-2,Oct-MQ-3,Jan-MQ-A,Jan-MQ-B,Jan-MQ-C,Mar-MQ-A,Mar-MQ-B,Mar-MQ-C,may-MQ-A,may-MQ-B,may-MQ-C,jul-MQ-A,jul-MQ-B,jul-MQ-C,PLFA-1,PLFA-3
10,13,3,1,0,0,0,0,0,0,194.082266,1.3,0.3,193.865552,194,0.134447692,4,1,0.111223458,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2383.37351,0,0,0,0,0,0,0,0,2492.03271,0,0,0,0,0,0,0
11,8,4,0,0,0,0,0,0,0,203.034982,0.727272727,0.363636364,202.808271,203,0.191728775,8,4,0.122345804,0.666666667,0,0,555.972173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382.454806,0,0,0,384.575067,5243.65901,4928.21845,3295.23157,3780.18295,5197.3546,5172.04815,5889.49958,5566.42704,7656.58904,3651.77196,5333.72167,6381.88079,0,4588.33517,5270.37566,1772.83067,2451.70861
11,15,3,1,0,0,0,0,0,0,208.097916,1.36363636,0.272727273,207.865552,208,0.134447692,4,1,0.122345804,0.294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1978.42034,0,0,0,0,0,0,0
10,13,4,1,0,0,0,0,0,0,210.077181,1.3,0.4,209.842607,210,0.157393157,4,0,0.111223458,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296.674801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373.673598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10,6,0,0,0,0,0,0,0,213.040461,1.11111111,0.666666667,212.802578,213,0.197421782,5,-1,0.100101112,0.333333333,0,0,613.755574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,22,3,0,0,0,0,0,0,0,213.149617,1.83333333,0.25,212.911613,213,0.0883874669,2,-1,0.13346815,0.0476190476,0,0,336.777984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.632286,0,0,0,0,0,0,0,160.846867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,12,6,0,0,0,0,0,0,0,215.056111,1.33333333,0.666666667,214.815978,215,0.184022475,4,-2,0.100101112,0.166666667,0,0,1496.80372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1223.83615,0,0,0,0,0,0,0
10,16,5,0,0,0,0,0,0,0,215.092496,1.6,0.5,214.852322,215,0.147677703,3,-2,0.111223458,0.0666666667,0,0,3324.44919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6191.01352,0,0,0,0,0,0,0,0,4905.80902,0,0,0,0,0,0,0
11,20,4,0,0,0,0,0,0,0,215.128882,1.81818182,0.363636364,214.888667,215,0.111332931,2,-2,0.122345804,0,0,0,1475.08408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,24,3,0,0,0,0,0,0,0,215.165267,2,0.25,214.925012,215,0.0749881597,1,-2,0.13346815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2899.7634,0,0,0,0,0,0,0,0,0,0,0,0,0
8,10,7,0,0,0,0,0,0,0,217.035376,1.25,0.875,216.793032,217,0.206967939,4,-3,0.0889787664,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525.498638
9,14,6,0,0,0,0,0,0,0,217.071761,1.55555556,0.666666667,216.829377,217,0.170623168,3,-3,0.100101112,0,0,0,1124.52994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1648.83176,0,0,0,0,0,0,0
10,18,5,0,0,0,0,0,0,0,217.108147,1.8,0.5,216.865722,217,0.134278396,2,-3,0.111223458,0,0,0,1134.24194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2378.55991,0,0,2708.88869,2287.37751,0,0,0,2859.50931,1997.91917,2776.99559,0,0,2305.80445,2335.49888,0,0
